ax,ay,az,gx,gy,gz,temp,time
7804,-148,16724,665,-3145,56,2672,174309
7792,116,16824,756,-3967,274,2704,174330
8436,-28,16220,703,-4287,138,2768,174351
8552,-404,16168,872,-3499,285,2768,174372
8688,48,16024,764,-2790,171,2720,174393
8820,-100,16196,758,-3149,194,2736,174414
8768,-104,16044,752,-3592,296,2720,174435
9176,84,15512,684,-3660,18,2768,174456
9264,28,15796,647,-2797,2,2720,174477
9332,4,15784,678,-3395,19,2736,174498
9488,28,15540,621,-3041,7,2736,174519
9480,-8,15748,703,-3473,85,2720,174540
9612,-68,15664,736,-4316,63,2768,174561
9920,96,15180,744,-4914,30,2784,174582
10120,92,15044,726,-4379,12,2672,174603
10212,224,15200,779,-5217,60,2816,174624
10432,32,14824,963,-5365,262,2704,174645
10664,124,14636,972,-5626,235,2672,174666
10820,36,14312,1121,-6165,348,2720,174687
10952,-152,14568,845,-6466,46,2720,174708
11584,104,13456,785,-6431,-49,2720,174729
11680,4,13948,779,-6494,-45,2720,174750
11780,0,13508,804,-6306,-38,2704,174771
12092,100,13240,673,-5192,4,2704,174792
11964,188,13736,788,-6833,-28,2672,174813
12644,216,12560,795,-6784,-1,2720,174834
12876,116,12184,731,-5706,-9,2832,174855
12856,168,12280,704,-4473,36,2768,174876
12908,220,12308,737,-4605,73,2768,174897
12628,296,12528,1123,-4153,385,2736,174918
14104,-84,10780,1119,-3811,333,2640,174939
14012,12,10892,1206,-2849,480,2704,174960
13332,176,11772,1075,-2180,374,2704,174981
13280,356,12012,1586,-1342,782,2704,175002
13508,164,11652,652,-1886,43,2720,175023
13696,224,11252,640,-1876,65,2656,175044
13720,200,11128,600,-1011,36,2736,175065
13660,204,11232,560,-989,50,2736,175086
13740,228,11356,526,-1065,12,2736,175107
13656,228,11440,538,-1591,23,2720,175128
13596,212,11456,642,-2459,7,2656,175149
14004,212,10708,617,-2507,58,2784,175170
13824,188,11136,559,-1766,69,2704,175191
13988,136,10880,629,-2543,8,2704,175212
13972,200,11016,615,-3176,24,2704,175233
14380,208,10308,643,-2806,27,2720,175254
14284,236,10260,560,-1330,55,2704,175275
14164,124,10656,601,-1994,44,2736,175296
14192,224,10608,585,-2754,-46,2832,175317
14572,284,9748,586,-2142,45,2784,175338
14436,220,10116,626,-1716,40,2784,175359
14376,284,10344,629,-2240,38,2672,175380
